timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total
20231027T2000,11.210245,0.6
20231027T2100,11.230246,0.5
20231027T2200,10.900246,0
20231027T2300,10.890245,0
20231028T0000,10.710245,0
20231028T0100,10.820246,0
20231028T0200,10.720245,0
20231028T0300,10.980246,0
20231028T0400,10.880245,0
20231028T0500,11.0602455,0
20231028T0600,11.340245,0
20231028T0700,11.5602455,0
20231028T0800,12.660245,0
20231028T0900,14.090245,0
20231028T1000,15.120245,0
20231028T1100,14.760245,0.7
20231028T1200,15.570246,0.1
20231028T1300,16.250246,0
20231028T1400,16.260246,0
20231028T1500,16.320246,0
20231028T1600,15.180245,0
20231028T1700,13.890245,0
20231028T1800,13.390245,0
20231028T1900,12.910245,0
20231028T2000,12.580245,0
20231028T2100,12.280245,0
20231028T2200,11.780245,0
20231028T2300,11.180245,0
20231029T0000,10.850245,0
20231029T0100,10.540245,0
20231029T0200,10.080245,0
20231029T0300,10.170245,0
20231029T0400,10.110246,0
20231029T0500,9.860246,0
20231029T0600,9.600245,0
20231029T0700,10.090245,0.2
20231029T0800,11.690246,0.5
20231029T0900,12.980246,0
20231029T1000,13.360246,0
20231029T1100,14.990245,0.2
20231029T1200,15.710245,0
20231029T1300,16.410246,0
20231029T1400,16.680244,0
20231029T1500,16.910246,0
20231029T1600,16.640245,0
20231029T1700,15.050245,0.2
20231029T1800,15.430245,0.2
20231029T1900,14.410245,0.2
20231029T2000,13.390245,0.1
20231029T2100,12.740245,0
20231029T2200,12.230246,0
20231029T2300,11.630245,0
20231030T0000,10.720245,0
20231030T0100,9.880245,0
20231030T0200,9.460245,0
20231030T0300,9.040245,0
20231030T0400,8.400246,0
20231030T0500,8.250245,0
20231030T0600,8.770246,0
20231030T0700,9.040245,0
20231030T0800,10.350245,0
20231030T0900,11.540245,0
20231030T1000,12.870245,0
20231030T1100,13.900246,0
20231030T1200,14.460245,0
20231030T1300,14.690246,0
20231030T1400,14.390245,0
20231030T1500,13.970245,0.2
20231030T1600,13.550245,1.1
20231030T1700,13.670245,1.7
20231030T1800,12.500245,2.3
20231030T1900,12.710245,2.2
20231030T2000,12.220245,1.5
20231030T2100,11.950245,0.4
20231030T2200,12.030245,0.1
20231030T2300,11.820246,0.1
20231031T0000,11.530245,0
20231031T0100,11.090245,0
20231031T0200,10.820246,0
20231031T0300,10.960245,0
20231031T0400,10.550245,0
20231031T0500,10.300245,0
20231031T0600,10.160245,0.1
20231031T0700,10.340245,0.2
20231031T0800,10.920245,0.2
20231031T0900,11.500245,0
20231031T1000,12.980246,0.1
20231031T1100,13.410245,0
20231031T1200,12.890245,0.7
20231031T1300,12.540245,0.5
20231031T1400,12.240245,0.5
20231031T1500,12.520246,0.3
20231031T1600,12.430245,0.2
20231031T1700,12.150246,0
20231031T1800,11.750245,0
20231031T1900,11.500245,0
20231031T2000,11.130245,0
20231031T2100,10.660245,0
20231031T2200,10.090245,0
20231031T2300,9.670245,0
